ns,bytes
11775637,109066
9194822,109066
14818230,109066
9900219,109066
10499113,109066
10467272,109066
9579887,109066
9473850,109066
11596140,109066
8802586,109066
10096592,109066
12568907,109066
9522340,109066
9400690,109066
12743291,109066
9105554,109066
9757904,109066
9778091,109066
9482764,109066
8685394,109066
9449431,109066
10705017,109066
8875696,109066
9095453,109066
8658470,109066
9216521,109066
9636825,109066
8864126,109066
11232796,109066
11003418,109066
10348672,109066
8866502,109066
10299415,109066
10288107,109066
9342519,109066
9784492,109066
10097736,109066
10990238,109066
9477936,109066
9801429,109066
9313357,109066
9217017,109066
9429303,109066
8998344,109066
9081402,109066
8906073,109066
12178287,109066
9048702,109066
10063929,109066
9494122,109066
9264211,109066
9432403,109066
9844319,109066
11507111,109066
8799868,109066
8995780,109066
9882100,109066
10320774,109066
9978706,109066
9461520,109066
10009487,109066
9872587,109066
9839085,109066
9232318,109066
11484706,109066
8931302,109066
9527584,109066
8689769,109066
9366837,109066
9586534,109066
10264034,109066
9305306,109066
8655683,109066
10708673,109066
9022874,109066
10510273,109066
8987562,109066
9115828,109066
11756990,109066
10912540,109066
8597166,109066
9258776,109066
11143798,109066
9831785,109066
11396896,109066
9248083,109066
9276686,109066
9775657,109066
10262736,109066
8934693,109066
9736302,109066
8970729,109066
9881954,109066
8764383,109066
10723320,109066
11644791,109066
9771953,109066
10762668,109066
11257740,109066
10816316,109066
34259733,1114298
36778807,1114298
34761630,1114298
37154413,1114298
38685408,1114298
34598280,1114298
36934144,1114298
34985360,1114298
36012571,1114298
36902843,1114298
42576595,1114298
38562555,1114298
35072898,1114298
35839339,1114298
35710154,1114298
33640430,1114298
36650050,1114298
34039638,1114298
34052706,1114298
36621359,1114298
35775769,1114298
36177585,1114298
34133482,1114298
38675518,1114298
35148197,1114298
33804951,1114298
37571742,1114298
43979497,1114298
35527724,1114298
35159371,1114298
37221077,1114298
35515479,1114298
34650869,1114298
35235664,1114298
35412249,1114298
35995692,1114298
41756767,1114298
35744621,1114298
35945409,1114298
34698572,1114298
34774675,1114298
34441082,1114298
36321624,1114298
39084650,1114298
41238421,1114298
36013233,1114298
36315327,1114298
36589764,1114298
33151975,1114298
34269408,1114298
33449664,1114298
36280635,1114298
34549745,1114298
35335284,1114298
35942318,1114298
33697305,1114298
39165725,1114298
35298865,1114298
36036549,1114298
35091491,1114298
40373396,1114298
34322233,1114298
37701830,1114298
41240196,1114298
35040617,1114298
38853970,1114298
36297596,1114298
34894881,1114298
33881636,1114298
36445506,1114298
35349632,1114298
35831945,1114298
32011894,1114298
36584513,1114298
34580567,1114298
35845174,1114298
33776938,1114298
37102672,1114298
35231976,1114298
37317718,1114298
33784933,1114298
33650088,1114298
34778348,1114298
32245088,1114298
35217167,1114298
35835763,1114298
32877051,1114298
34653223,1114298
34902853,1114298
34668404,1114298
35712628,1114298
38295027,1114298
35694919,1114298
33616387,1114298
34328791,1114298
37077839,1114298
34083181,1114298
39274289,1114298
34782879,1114298
39511959,1114298
80988391,3254494
81009063,3254494
83386530,3254494
84093407,3254494
87768781,3254494
77157749,3254494
79778452,3254494
83310758,3254494
82652057,3254494
79976666,3254494
78644410,3254494
76345707,3254494
80972021,3254494
84173452,3254494
83335912,3254494
84030296,3254494
78735223,3254494
83144457,3254494
74905363,3254494
83504490,3254494
81828225,3254494
81018542,3254494
78977855,3254494
89850416,3254494
81472625,3254494
83133992,3254494
84791229,3254494
84085788,3254494
79823587,3254494
88542186,3254494
81673770,3254494
82830471,3254494
80637863,3254494
81359538,3254494
80225854,3254494
98121387,3254494
83873577,3254494
83170183,3254494
80969802,3254494
79941225,3254494
85523699,3254494
84393980,3254494
83875960,3254494
84403807,3254494
80128139,3254494
82100253,3254494
80437162,3254494
81643550,3254494
80562593,3254494
85072496,3254494
80680877,3254494
81275709,3254494
87231493,3254494
83504008,3254494
83815276,3254494
81149651,3254494
81698105,3254494
85768844,3254494
83558105,3254494
79957916,3254494
84709750,3254494
83855819,3254494
82729245,3254494
79484066,3254494
85063961,3254494
80146337,3254494
91043238,3254494
81516113,3254494
81338600,3254494
79021835,3254494
82716664,3254494
77666335,3254494
84931898,3254494
84970518,3254494
88969022,3254494
81993528,3254494
83219120,3254494
79584363,3254494
85939089,3254494
80532806,3254494
84235908,3254494
80663035,3254494
81154528,3254494
79666257,3254494
81512875,3254494
80623552,3254494
80126001,3254494
78333068,3254494
78028724,3254494
83973120,3254494
81309647,3254494
83345037,3254494
79172000,3254494
87300951,3254494
85655783,3254494
83018302,3254494
83707115,3254494
81545192,3254494
83983606,3254494
90179116,3254494
150701640,6323973
154567960,6323973
149376481,6323973
153513301,6323973
148635160,6323973
153047079,6323973
154667287,6323973
151574298,6323973
149270626,6323973
148662129,6323973
152463529,6323973
147670809,6323973
149944546,6323973
156656866,6323973
157987966,6323973
148661242,6323973
148945658,6323973
149570047,6323973
150553016,6323973
149337805,6323973
149138605,6323973
149609475,6323973
147648866,6323973
148982717,6323973
152336915,6323973
145846904,6323973
151383797,6323973
150911574,6323973
156643592,6323973
151103445,6323973
152510757,6323973
151167970,6323973
146297475,6323973
158978284,6323973
152109219,6323973
152661881,6323973
153175607,6323973
145343308,6323973
149438260,6323973
152335187,6323973
151009230,6323973
153187115,6323973
153700334,6323973
148149065,6323973
152476636,6323973
157516556,6323973
154264677,6323973
147933280,6323973
147963811,6323973
151878671,6323973
156932967,6323973
151093435,6323973
149600117,6323973
153841989,6323973
151767378,6323973
156889527,6323973
143499756,6323973
155974417,6323973
153174070,6323973
150588829,6323973
150982102,6323973
149109197,6323973
150978046,6323973
158650644,6323973
157725473,6323973
152186839,6323973
156419400,6323973
147136755,6323973
153028687,6323973
153074001,6323973
147770222,6323973
149095531,6323973
153632212,6323973
154977087,6323973
148194758,6323973
151956901,6323973
152236957,6323973
157797698,6323973
152507693,6323973
152842184,6323973
152668088,6323973
152947672,6323973
154188235,6323973
151865735,6323973
156492411,6323973
149669927,6323973
148148154,6323973
157337058,6323973
152360565,6323973
147468756,6323973
154633656,6323973
151861441,6323973
152164442,6323973
147791108,6323973
145084216,6323973
152923863,6323973
154453850,6323973
150609666,6323973
148396433,6323973
150314485,6323973
204673115,8424862
205510071,8424862
213012548,8424862
192759233,8424862
199291582,8424862
213831111,8424862
215918501,8424862
220702133,8424862
215764289,8424862
204220061,8424862
200915273,8424862
205441591,8424862
209635386,8424862
205718809,8424862
204684570,8424862
200803948,8424862
219434293,8424862
218464058,8424862
198180829,8424862
199708177,8424862
200045781,8424862
205881427,8424862
199629590,8424862
220840783,8424862
219482281,8424862
201326975,8424862
202708963,8424862
213553254,8424862
200275613,8424862
213761122,8424862
217293953,8424862
197883030,8424862
198899262,8424862
202824030,8424862
199683593,8424862
194740256,8424862
200765708,8424862
202974050,8424862
203802762,8424862
208139598,8424862
205692934,8424862
201965048,8424862
199402377,8424862
201410201,8424862
203364270,8424862
193492352,8424862
208692006,8424862
201364214,8424862
203126951,8424862
205954100,8424862
206013951,8424862
199729221,8424862
194620869,8424862
198032684,8424862
200927711,8424862
202404299,8424862
201797985,8424862
202680744,8424862
201556491,8424862
206499617,8424862
201389182,8424862
199655634,8424862
203475352,8424862
196531355,8424862
201219677,8424862
200126620,8424862
202890606,8424862
206530135,8424862
198522782,8424862
216130167,8424862
211506689,8424862
201697410,8424862
196740598,8424862
210283765,8424862
201878916,8424862
211972021,8424862
198653740,8424862
197109243,8424862
204091595,8424862
207517929,8424862
206754653,8424862
197286064,8424862
211057363,8424862
200124805,8424862
219141171,8424862
206998026,8424862
198267591,8424862
195889100,8424862
199343373,8424862
202591824,8424862
200847308,8424862
203870010,8424862
202052141,8424862
202304983,8424862
212571301,8424862
216083483,8424862
208399207,8424862
200229789,8424862
201081882,8424862
215001629,8424862
369606437,15751188
370168778,15751188
372163718,15751188
369649585,15751188
372479847,15751188
397172032,15751188
381021190,15751188
379883429,15751188
375057375,15751188
371113251,15751188
397253810,15751188
387636893,15751188
378959393,15751188
371069597,15751188
363795591,15751188
379197923,15751188
385031067,15751188
397600775,15751188
376613442,15751188
