ns,bytes
10475906,109066
10676412,109066
10605859,109066
12091148,109066
13107119,109066
13490417,109066
10560883,109066
11714026,109066
12871400,109066
12524657,109066
9903747,109066
9700039,109066
10319956,109066
11987071,109066
10863371,109066
10751173,109066
12887455,109066
12029505,109066
10302707,109066
10893811,109066
10105126,109066
9743980,109066
10115450,109066
10089732,109066
10557882,109066
9878458,109066
11595074,109066
12778336,109066
11872174,109066
12499353,109066
13136314,109066
13231661,109066
12602547,109066
12117196,109066
13381197,109066
13436398,109066
10590916,109066
12659264,109066
10348539,109066
11055756,109066
12031064,109066
11663078,109066
12264617,109066
11826230,109066
13484297,109066
10727866,109066
9479515,109066
9698335,109066
11945294,109066
11272886,109066
10178543,109066
10087538,109066
9573527,109066
11056291,109066
11823717,109066
14028347,109066
13599324,109066
13162501,109066
11495382,109066
12570545,109066
10772033,109066
10813847,109066
11823105,109066
12468861,109066
13442381,109066
9877209,109066
10391458,109066
9708879,109066
10536276,109066
11955957,109066
10957331,109066
12118642,109066
9930461,109066
10637081,109066
11103998,109066
10607267,109066
11506527,109066
10014659,109066
10316636,109066
10429271,109066
9877814,109066
10201192,109066
9808058,109066
10612895,109066
12005263,109066
12246107,109066
10338388,109066
11275998,109066
11515952,109066
10715690,109066
9878966,109066
10125461,109066
11177709,109066
9877352,109066
9947167,109066
10586801,109066
13836391,109066
10428800,109066
10480198,109066
12551860,109066
49759965,1114298
49602672,1114298
52947276,1114298
48474232,1114298
52557090,1114298
51106267,1114298
54906534,1114298
54333300,1114298
56509209,1114298
54627166,1114298
52780486,1114298
57327710,1114298
51197269,1114298
51135455,1114298
48120357,1114298
51877708,1114298
50733548,1114298
50190533,1114298
54649309,1114298
54511877,1114298
48845919,1114298
49676866,1114298
51722445,1114298
46660614,1114298
57646190,1114298
48368078,1114298
57806033,1114298
59106869,1114298
50531045,1114298
52833462,1114298
51548421,1114298
50336746,1114298
50487702,1114298
51974699,1114298
52218442,1114298
47849932,1114298
51847608,1114298
52746050,1114298
52010120,1114298
45573176,1114298
50414937,1114298
52548478,1114298
56141179,1114298
47979043,1114298
53439646,1114298
46550467,1114298
49279261,1114298
47921219,1114298
48184761,1114298
51251635,1114298
49908577,1114298
50982076,1114298
45636404,1114298
48679543,1114298
53154023,1114298
53671247,1114298
48121074,1114298
55508717,1114298
63174341,1114298
49792124,1114298
57068107,1114298
56177718,1114298
48872795,1114298
45175290,1114298
50259921,1114298
47855038,1114298
53206534,1114298
53110775,1114298
52441800,1114298
50257675,1114298
53714547,1114298
57760652,1114298
45254252,1114298
49239697,1114298
50281935,1114298
55127981,1114298
45731623,1114298
49563861,1114298
50136105,1114298
52879269,1114298
46761890,1114298
52725630,1114298
56025235,1114298
51695998,1114298
50873774,1114298
48175125,1114298
49357622,1114298
50908506,1114298
49153211,1114298
48662357,1114298
48659196,1114298
50859888,1114298
56208205,1114298
49966390,1114298
51361257,1114298
52446993,1114298
51053393,1114298
49970693,1114298
49204721,1114298
51086716,1114298
121370642,3254494
117879582,3254494
114302233,3254494
127054532,3254494
129035914,3254494
133200875,3254494
128628438,3254494
128863656,3254494
115026736,3254494
122374814,3254494
126578407,3254494
123964070,3254494
131808464,3254494
122288689,3254494
129068348,3254494
117710100,3254494
117871541,3254494
115099545,3254494
119162513,3254494
120661479,3254494
114692223,3254494
117161967,3254494
113637555,3254494
125725003,3254494
114815210,3254494
